parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 2 | 5 | 15 | ((x*45)-225)=450 | x 45 * 225 - 450 = | x:UNKNOWN 45:dollar *:dollar 225:dollar -:dollar 450:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 5 | 15 | ((45*x)-225)=450 | 45 x * 225 - 450 = | 45:dollar x:UNKNOWN *:dollar 225:dollar -:dollar 450:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 5 | 5 | ((45*x)+225)=450 | 45 x * 225 + 450 = | 45:dollar x:UNKNOWN *:dollar 225:dollar +:dollar 450:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 5 | 5 | ((x*45)+225)=450 | x 45 * 225 + 450 = | x:UNKNOWN 45:dollar *:dollar 225:dollar +:dollar 450:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 5 | 15 | 45=((225+450)/x) | 45 225 450 + x / = | 45:dollar 225:dollar 450:dollar +:dollar x:UNKNOWN /:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 30375 | x=(45*(225+450)) | x 45 225 450 + * = | x:UNKNOWN 45:UNKNOWN 225:dollar 450:dollar +:dollar *:UNKNOWN =:UNKNOWN
EXPR: 0 | POS | INT | 10 | 5 | 121500 | ((45+225)*450)=x | 45 225 + 450 * x = | 45:dollar 225:dollar +:dollar 450:UNKNOWN *:UNKNOWN x:UNKNOWN =:UNKNOWN
EXPR: 0 | POS | INT | 10 | 5 | 720 | (45+(225+450))=x | 45 225 450 + + x = | 45:dollar 225:dollar 450:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 720 | x=((45+225)+450) | x 45 225 + 450 + = | x:dollar 45:dollar 225:dollar +:dollar 450:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 270 | x=((45-225)+450) | x 45 225 - 450 + = | x:dollar 45:dollar 225:dollar -:dollar 450:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 121500 | x=((45+225)*450) | x 45 225 + 450 * = | x:UNKNOWN 45:dollar 225:dollar +:dollar 450:UNKNOWN *:UNKNOWN =:UNKNOWN
EXPR: 0 | POS | INT | 10 | 5 | 270 | x=(45-(225-450)) | x 45 225 450 - - = | x:dollar 45:dollar 225:dollar 450:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 270 | ((45-225)+450)=x | 45 225 - 450 + x = | 45:dollar 225:dollar -:dollar 450:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 720 | x=(45+(225+450)) | x 45 225 450 + + = | x:dollar 45:dollar 225:dollar 450:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 270 | (45-(225-450))=x | 45 225 450 - - x = | 45:dollar 225:dollar 450:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 720 | ((45+225)+450)=x | 45 225 + 450 + x = | 45:dollar 225:dollar +:dollar 450:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 5 | 30375 | (45*(225+450))=x | 45 225 450 + * x = | 45:UNKNOWN 225:dollar 450:dollar +:dollar *:UNKNOWN x:UNKNOWN =:UNKNOWN
EXPR: 1 | POS | INT | 12 | 5 | 5 | 45=((450-225)/x) | 45 450 225 - x / = | 45:dollar 450:dollar 225:dollar -:dollar x:UNKNOWN /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 47 | ((x-45)*225)=450 | x 45 - 225 * 450 = | x:UNKNOWN 45:UNKNOWN -:UNKNOWN 225:dollar *:dollar 450:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 630 | 45=(225+(450-x)) | 45 225 450 x - + = | 45:dollar 225:dollar 450:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 215 | (45*(225-x))=450 | 45 225 x - * 450 = | 45:dollar 225:UNKNOWN x:UNKNOWN -:UNKNOWN *:dollar 450:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 15 | ((45*x)-450)=225 | 45 x * 450 - 225 = | 45:dollar x:UNKNOWN *:dollar 450:dollar -:dollar 225:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 630 | 45=(225-(x-450)) | 45 225 x 450 - - = | 45:dollar 225:dollar x:dollar 450:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 270 | 45=(225+(x-450)) | 45 225 x 450 - + = | 45:dollar 225:dollar x:dollar 450:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 630 | 45=((225-x)+450) | 45 225 x - 450 + = | 45:dollar 225:dollar x:dollar -:dollar 450:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 15 | (45*x)=(225+450) | 45 x * 225 450 + = | 45:dollar x:UNKNOWN *:dollar 225:dollar 450:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 720 | 45=(x-(225+450)) | 45 x 225 450 + - = | 45:dollar x:dollar 225:dollar 450:dollar +:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 5 | 5 | (225+(45*x))=450 | 225 45 x * + 450 = | 225:dollar 45:dollar x:UNKNOWN *:dollar +:dollar 450:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 270 | 45=(x+(225-450)) | 45 x 225 450 - + = | 45:dollar x:dollar 225:dollar 450:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 5 | 630 | ((x+45)-225)=450 | x 45 + 225 - 450 = | x:dollar 45:dollar +:dollar 225:dollar -:dollar 450:dollar =:dollar
