parameters: n=11 l=5 k=1 p=5 q=1 m=11
TOTAL 156 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 39 | 65 | x=(((20+12)+20)+(5+8)) | x 20 12 + 20 + 5 8 + + = | x:sticker 20:sticker 12:sticker +:sticker 20:sticker +:sticker 5:sticker 8:sticker +:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 9 | ((((20+12)-20)+5)-8)=x | 20 12 + 20 - 5 + 8 - x = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker 5:sticker +:sticker 8:sticker -:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 173 | (((20-12)*20)+(5+8))=x | 20 12 - 20 * 5 8 + + x = | 20:sticker 12:sticker -:sticker 20:sticker *:sticker 5:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 49 | x=((20+12)+((20+5)-8)) | x 20 12 + 20 5 + 8 - + = | x:sticker 20:sticker 12:sticker +:sticker 20:sticker 5:sticker +:sticker 8:sticker -:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 25 | (((20+12)-20)+(5+8))=x | 20 12 + 20 - 5 8 + + x = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker 5:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 0 | 39 | 653 | (((20+12)*20)+(5+8))=x | 20 12 + 20 * 5 8 + + x = | 20:sticker 12:sticker +:sticker 20:sticker *:sticker 5:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 65 | x=(((20/12)+20)*(8-5)) | x 20 12 / 20 + 8 5 - * = | x:sticker 20:sticker 12:sticker /:sticker 20:sticker +:sticker 8:sticker 5:sticker -:sticker *:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 55 | x=(((20+12)+20)+(8-5)) | x 20 12 + 20 + 8 5 - + = | x:sticker 20:sticker 12:sticker +:sticker 20:sticker +:sticker 8:sticker 5:sticker -:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 20 | x=((12+(20-(20/5)))-8) | x 12 20 20 5 / - + 8 - = | x:sticker 12:sticker 20:sticker 20:sticker 5:sticker /:sticker -:sticker +:sticker 8:sticker -:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 25 | ((((20+x)-12)-20)-5)=8 | 20 x + 12 - 20 - 5 - 8 = | 20:sticker x:sticker +:sticker 12:sticker -:sticker 20:sticker -:sticker 5:sticker -:sticker 8:sticker =:sticker
EXPR: 1 | POS | INT | 2 | 39 | 39 | ((((20+12)-x)+20)-5)=8 | 20 12 + x - 20 + 5 - 8 = | 20:sticker 12:sticker +:sticker x:sticker -:sticker 20:sticker +:sticker 5:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 9 | ((((20+12)-20)+5)-x)=8 | 20 12 + 20 - 5 + x - 8 = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker 5:sticker +:sticker x:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 25 | ((((20+20)-12)+5)-8)=x | 20 20 + 12 - 5 + 8 - x = | 20:sticker 20:sticker +:sticker 12:sticker -:sticker 5:sticker +:sticker 8:sticker -:sticker x:sticker =:sticker
EXPR: 1 | POS | INT | 2 | 39 | 39 | ((((20+12)-5)+20)-8)=x | 20 12 + 5 - 20 + 8 - x = | 20:sticker 12:sticker +:sticker 5:sticker -:sticker 20:sticker +:sticker 8:sticker -:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 15 | ((((20+12)-20)+8)-5)=x | 20 12 + 20 - 8 + 5 - x = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker 8:sticker +:sticker 5:sticker -:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 28 | x=((12+(20+(20/5)))-8) | x 12 20 20 5 / + + 8 - = | x:sticker 12:sticker 20:sticker 20:sticker 5:sticker /:sticker +:sticker +:sticker 8:sticker -:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 1 | ((((20+12)-20)+x)-5)=8 | 20 12 + 20 - x + 5 - 8 = | 20:sticker 12:sticker +:sticker 20:sticker -:sticker x:sticker +:sticker 5:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 |  | x=(((20-20)/12)/(5+8)) | x 20 20 - 12 / 5 8 + / = | x:sticker 20:sticker 20:sticker -:sticker 12:sticker /:sticker 5:sticker 8:sticker +:sticker /:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 55 | x=((20+12)+((20+8)-5)) | x 20 12 + 20 8 + 5 - + = | x:sticker 20:sticker 12:sticker +:sticker 20:sticker 8:sticker +:sticker 5:sticker -:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 13 | (((20-20)/12)+(5+8))=x | 20 20 - 12 / 5 8 + + x = | 20:sticker 20:sticker -:sticker 12:sticker /:sticker 5:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 41 | (((20+20)-12)+(5+8))=x | 20 20 + 12 - 5 8 + + x = | 20:sticker 20:sticker +:sticker 12:sticker -:sticker 5:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 2 | 39 | 68 | (((20-12)*5)+(20+8))=x | 20 12 - 5 * 20 8 + + x = | 20:sticker 12:sticker -:sticker 5:sticker *:sticker 20:sticker 8:sticker +:sticker +:sticker x:sticker =:sticker
EXPR: 0 | POS | INT | 4 | 39 | 25 | ((((20+x)-20)-12)-5)=8 | 20 x + 20 - 12 - 5 - 8 = | 20:sticker x:sticker +:sticker 20:sticker -:sticker 12:sticker -:sticker 5:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 4 | 39 | 25 | ((((20+x)-12)-5)-20)=8 | 20 x + 12 - 5 - 20 - 8 = | 20:sticker x:sticker +:sticker 12:sticker -:sticker 5:sticker -:sticker 20:sticker -:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 4 | 39 | 25 | ((((20+x)-12)-20)-8)=5 | 20 x + 12 - 20 - 8 - 5 = | 20:sticker x:sticker +:sticker 12:sticker -:sticker 20:sticker -:sticker 8:sticker -:sticker 5:sticker =:sticker
EXPR: 0 | POS | INT | 4 | 39 | 3 | (((20-20)*12)+(5+x))=8 | 20 20 - 12 * 5 x + + 8 = | 20:sticker 20:sticker -:sticker 12:sticker *:sticker 5:sticker x:sticker +:sticker +:sticker 8:sticker =:sticker
EXPR: 0 | POS | INT | 5 | 39 | 16 | x=((20/(12+8))+(20-5)) | x 20 12 8 + / 20 5 - + = | x:sticker 20:sticker 12:sticker 8:sticker +:sticker /:sticker 20:sticker 5:sticker -:sticker +:sticker =:sticker
EXPR: 0 | POS | INT | 5 | 39 | 105 | x=((20/(12-8))+(20*5)) | x 20 12 8 - / 20 5 * + = | x:sticker 20:sticker 12:sticker 8:sticker -:sticker /:sticker 20:sticker 5:sticker *:sticker +:sticker =:sticker
